K,T,fingerprint_dim,p_dropout,weight_decay,learning_rate,best_epoch,best_MSE
5,1,137,0.11636416398864535,5.47677816085568,3.592567074666797,194,1.1900368
5,1,137,0.11636416398864535,5.47677816085568,3.592567074666797,263,1.1333569
3,2,93,0.35618728704104563,4.173544070170161,4.282686726808787,440,1.081176
4,2,216,0.4374079455948399,3.411247977288813,3.4463722476479832,114,1.0729629
4,1,167,0.0732934416550246,4.640482841098425,2.8462422487070365,18,1.0701848
5,1,249,0.03434506672907861,5.204223545305577,3.914716418369364,33,1.065032
4,4,192,0.2232114537589513,4.335858174003867,2.1167368929269657,56,1.059133
4,3,51,0.42285229092890136,3.0019271735941704,4.52957478503071,29,1.0592744
2,2,114,0.32638824859191673,3.6058247988732197,2.2698981177119624,91,1.0517539
2,3,72,0.23118003926901048,2.382513445203546,3.501818317832948,17,1.0529517
5,3,33,0.30770276141582464,5.067816205753853,2.2112764240033567,38,1.0479321
3,1,234,0.45152571965369864,4.789980544034063,4.744914805769613,133,1.0459015
4,4,151,0.17768669307812635,4.221971489356986,4.610119363480085,0,1.0442592
5,4,179,0.4892095748573387,2.4690003871645403,4.236976527890365,45,1.0434957
5,4,204,0.4897370461333964,2.8300921658551417,2.444204193005685,66,1.042472
5,4,125,0.5,6.0,5.0,40,1.0417355
4,3,61,0.06985644917407358,5.701519925457177,3.251078218407371,4,1.0418733
2,4,103,0.007619663584607195,5.795555623301018,3.6207649303586456,37,1.0405835
2,3,81,0.05930576254303016,5.722927002321789,3.4135038369264747,16,1.0399076
2,5,226,0.0,3.2520328775161116,4.457355138910738,47,1.0415635
2,5,40,0.0,2.0,4.700370343529443,2,1.0433373
2,5,243,0.5,2.0,2.0,56,1.0424261
5,5,256,0.5,4.396357682759104,2.0,12,1.0410972
