K,T,fingerprint_dim,p_dropout,weight_decay,learning_rate,best_epoch,best_MSE
K,T,fingerprint_dim,p_dropout,weight_decay,learning_rate,best_epoch,best_MSE
K,T,fingerprint_dim,p_dropout,weight_decay,learning_rate,best_epoch,best_MSE
5,1,137,0.11636416398864535,5.47677816085568,3.592567074666797K,T,fingerprint_dim,p_dropout,weight_decay,learning_rate,best_epoch,best_MSE
5,1,137,0.11636416398864535,5.47677816085568,3.592567074666797,1,1.4967129
5,1,137,0.11636416398864535,5.47677816085568,3.592567074666797,2,1.4940021
K,T,fingerprint_dim,p_dropout,weight_decay,learning_rate,best_epoch,best_MSE
5,1,137,0.11636416398864535,5.47677816085568,3.592567074666797,2,1.4861345
5,1,137,0.11636416398864535,5.47677816085568,3.592567074666797,1,1.4874172
3,2,93,0.35618728704104563,4.173544070170161,4.282686726808787,3,1.4823848
4,2,216,0.4374079455948399,3.411247977288813,3.4463722476479832,3,1.4720991
4,1,167,0.0732934416550246,4.640482841098425,2.8462422487070365,0,1.4719887
